證券代碼,年月日,收盤價(元),收盤價(元)_週
2454 聯發科,2006/2/10,320.5,148.67
2474 可成,2006/2/10,220,70.11
2492 華新科,2006/2/10,30.8,23.95
2801 彰銀,2006/2/10,18.65,8.77
2823 中壽,2006/2/10,11.9,4.21
2880 華南金,2006/2/10,22.4,8.51
2881 富邦金,2006/2/10,28.35,15.15
2882 國泰金,2006/2/10,63.1,31.76
2883 開發金,2006/2/10,12.45,6.94
2884 玉山金,2006/2/10,21.7,7.64
2885 元大金,2006/2/10,12.5,7.8
2886 兆豐金,2006/2/10,22.8,11.09
2887 台新金,2006/2/10,20.4,9.64
2890 永豐金,2006/2/10,17.45,8.4
2891 中信金,2006/2/10,26.6,8.95
2892 第一金,2006/2/10,24.8,8.94
2912 統一超,2006/2/10,74.2,41.33
3008 大立光,2006/2/10,589,403.01
3045 台灣大,2006/2/10,30.15,19.01
4904 遠傳,2006/2/10,38.85,21.74
6505 台塑化,2006/2/10,58.2,32.2
9904 寶成,2006/2/10,22.7,10.06
0050 元大台灣50,2006/2/17,52.95,33.65
1101 台泥,2006/2/17,24.2,11.06
1102 亞泥,2006/2/17,22,8.27
1216 統一,2006/2/17,18.2,7.22
1301 台塑,2006/2/17,51.6,23.36
1303 南亞,2006/2/17,46.85,22.61
1402 遠東新,2006/2/17,23.55,10.73
2002 中鋼,2006/2/17,28.3,11.53
2105 正新,2006/2/17,24.9,5.96
2301 光寶科,2006/2/17,41.7,22.17
2303 聯電,2006/2/17,19.1,13.35
2308 台達電,2006/2/17,69,33.82
2317 鴻海,2006/2/17,208.5,49.3
2327 國巨,2006/2/17,13.2,32.38
2330 台積電,2006/2/17,61.7,33.97
2354 鴻準,2006/2/17,160,51.12
2357 華碩,2006/2/17,97,147.16
2382 廣達,2006/2/17,51.4,22.11
2395 研華,2006/2/17,86.6,33.66
2408 南亞科,2006/2/17,21.1,391.25
2409 友達,2006/2/17,55,32.89
2412 中華電,2006/2/17,59.1,31.69
2454 聯發科,2006/2/17,340,157.71
2474 可成,2006/2/17,254,80.95
2492 華新科,2006/2/17,33.2,25.82
2801 彰銀,2006/2/17,19.15,9.01
2823 中壽,2006/2/17,11.85,4.19
2880 華南金,2006/2/17,23.25,8.83
2881 富邦金,2006/2/17,29.1,15.55
2882 國泰金,2006/2/17,62.8,31.6
2883 開發金,2006/2/17,12.4,6.91
2884 玉山金,2006/2/17,21.35,7.51
2885 元大金,2006/2/17,12.4,7.73
2886 兆豐金,2006/2/17,23.6,11.48
2887 台新金,2006/2/17,20.5,9.69
2890 永豐金,2006/2/17,16.95,8.16
2891 中信金,2006/2/17,26.75,9.01
2892 第一金,2006/2/17,24.95,8.99
2912 統一超,2006/2/17,74.6,41.55
