證券代碼,年月日,成交量(千股)_週,收盤價(元),收盤價(元)_週
2881 富邦金,2010-02-26,143113,35.5,21.53
2882 國泰金,2010-02-26,91044,51.7,31.08
2883 開發金,2010-02-26,84798,8.73,5.76
2884 玉山金,2010-02-26,33110,11.9,4.98
2885 元大金,2010-02-26,193275,18.2,11.87
2886 兆豐金,2010-02-26,94764,17.75,10.74
2887 台新金,2010-02-26,117112,10.8,4.84
2890 永豐金,2010-02-26,93074,10.35,5.36
2891 中信金,2010-02-26,226989,17.4,7.61
2892 第一金,2010-02-26,108473,17.25,8.15
2912 統一超,2010-02-26,12835,75.4,55.37
3008 大立光,2010-02-26,4418,413.5,356.3
3045 台灣大,2010-02-26,24467,60.1,40.17
3481 群創,2010-02-26,138204,45.6,38.23
4904 遠傳,2010-02-26,22375,38.2,24.19
6505 台塑化,2010-02-26,9045,81.2,59.63
9904 寶成,2010-02-26,35915,23.65,15.51
0050 元大台灣50,2010-02-26,61723,51.55,39.42
1101 台泥,2010-03-05,54617,29.95,17.2
1102 亞泥,2010-03-05,19298,30,17.58
1216 統一,2010-03-05,61310,36.2,18.62
1301 台塑,2010-03-05,51929,70,45.81
1303 南亞,2010-03-05,61455,64.8,44.14
1326 台化,2010-03-05,46187,74,48.04
1402 遠東新,2010-03-05,52335,35.6,21.55
2002 中鋼,2010-03-05,174760,33.1,21.45
2105 正新,2010-03-05,38563,65,24.49
2301 光寶科,2010-03-05,32893,41.95,23.31
2303 聯電,2010-03-05,262361,16.1,11.03
2308 台達電,2010-03-05,31880,96.7,68.46
2317 鴻海,2010-03-05,121054,134,66.99
2327 國巨,2010-03-05,70470,11.1,29.52
2330 台積電,2010-03-05,269822,60.4,44
2354 鴻準,2010-03-05,25513,116,67.17
2357 華碩,2010-03-05,63574,57.5,129.7
2382 廣達,2010-03-05,36142,65,39.31
2395 研華,2010-03-05,3195,65,35.86
2408 南亞科,2010-03-05,60306,25.9,203.97
2409 友達,2010-03-05,256552,34.1,26.23
2412 中華電,2010-03-05,82632,60.7,46.43
2454 聯發科,2010-03-05,25106,509,343.82
2474 可成,2010-03-05,25873,68.6,52.72
2492 華新科,2010-03-05,26599,18.05,18.48
2801 彰銀,2010-03-05,39342,14.4,7.77
2823 中壽,2010-03-05,35895,21.85,8.48
2880 華南金,2010-03-05,36264,19.65,9.44
2881 富邦金,2010-03-05,86645,36.85,22.35
2882 國泰金,2010-03-05,111372,53.5,32.17
2883 開發金,2010-03-05,92089,8.95,5.9
2884 玉山金,2010-03-05,26227,11.9,4.98
2885 元大金,2010-03-05,222120,19.6,12.78
2886 兆豐金,2010-03-05,63421,18.05,10.92
2887 台新金,2010-03-05,103738,11.65,5.22
2890 永豐金,2010-03-05,98480,10.5,5.44
2891 中信金,2010-03-05,224859,18.45,8.07
2892 第一金,2010-03-05,72166,17.75,8.38
2912 統一超,2010-03-05,7521,76.2,55.96
3008 大立光,2010-03-05,3566,421.5,363.19
3045 台灣大,2010-03-05,33591,60.4,40.37
3481 群創,2010-03-05,134114,48,40.24
4904 遠傳,2010-03-05,23140,38.15,24.16
6505 台塑化,2010-03-05,8664,81.7,59.99
9904 寶成,2010-03-05,36216,24.4,16
0050 元大台灣50,2010-03-05,54177,52.95,40.49
1101 台泥,2010-03-12,47662,29.45,16.92
1102 亞泥,2010-03-12,17633,29.9,17.52
1216 統一,2010-03-12,31399,35.75,18.39
1301 台塑,2010-03-12,27896,69.9,45.74
1303 南亞,2010-03-12,36096,64.8,44.14
1326 台化,2010-03-12,32795,74.1,48.11
1402 遠東新,2010-03-12,52844,36.95,22.36
2002 中鋼,2010-03-12,113566,33,21.38
2105 正新,2010-03-12,28402,65.4,24.64
2301 光寶科,2010-03-12,26410,42.6,23.67
2303 聯電,2010-03-12,238264,16.75,11.47
2308 台達電,2010-03-12,31026,97,68.67
2317 鴻海,2010-03-12,111390,137.5,68.74
2327 國巨,2010-03-12,115530,11.65,30.99
2330 台積電,2010-03-12,206234,60.8,44.29
2354 鴻準,2010-03-12,30195,115,66.59
2357 華碩,2010-03-12,69062,57.3,129.25
2382 廣達,2010-03-12,29977,63.2,38.23
2395 研華,2010-03-12,5614,63.8,35.19
2408 南亞科,2010-03-12,87261,28.9,227.6
2409 友達,2010-03-12,238693,34.7,26.69
2412 中華電,2010-03-12,38449,61.2,46.81
2454 聯發科,2010-03-12,25715,538,363.41
2474 可成,2010-03-12,18648,68.5,52.64
2492 華新科,2010-03-12,52501,17.9,18.33
2801 彰銀,2010-03-12,38953,14.05,7.58
2823 中壽,2010-03-12,31050,22.4,8.69
2880 華南金,2010-03-12,13034,19.75,9.48
2881 富邦金,2010-03-12,89368,38.05,23.07
2882 國泰金,2010-03-12,51992,53.5,32.17
2883 開發金,2010-03-12,48862,8.95,5.9
2884 玉山金,2010-03-12,37124,12.45,5.21
2885 元大金,2010-03-12,112625,19.3,12.58
2886 兆豐金,2010-03-12,55021,18.05,10.92
2887 台新金,2010-03-12,66713,11.65,5.22
2890 永豐金,2010-03-12,68275,10.45,5.42
2891 中信金,2010-03-12,114211,18.2,7.96
2892 第一金,2010-03-12,57572,17.45,8.24
2912 統一超,2010-03-12,7575,76.2,55.96
3008 大立光,2010-03-12,5204,436,375.69
3045 台灣大,2010-03-12,20897,60.3,40.31
3481 群創,2010-03-12,94842,49.3,41.33
4904 遠傳,2010-03-12,25251,37.9,24
6505 台塑化,2010-03-12,7097,82.4,60.51
9904 寶成,2010-03-12,24513,24.2,15.87
0050 元大台灣50,2010-03-12,50873,53.6,40.99
1101 台泥,2010-03-19,66546,29.85,17.15
1102 亞泥,2010-03-19,27556,30.1,17.63
1216 統一,2010-03-19,60718,35.05,18.03
1301 台塑,2010-03-19,50402,71,46.46
1303 南亞,2010-03-19,45151,65.1,44.35
1326 台化,2010-03-19,40753,75.2,48.82
1402 遠東新,2010-03-19,44090,36.05,21.82
2002 中鋼,2010-03-19,110304,33.2,21.51
2105 正新,2010-03-19,39329,67.6,25.47
2301 光寶科,2010-03-19,50482,40.8,22.67
2303 聯電,2010-03-19,224793,16.95,11.61
2308 台達電,2010-03-19,54964,100.5,71.15
2317 鴻海,2010-03-19,101921,139.5,69.74
2327 國巨,2010-03-19,101720,12.15,32.32
2330 台積電,2010-03-19,256888,60,43.71
2354 鴻準,2010-03-19,31178,117.5,68.04
2357 華碩,2010-03-19,70608,57.6,129.93
2382 廣達,2010-03-19,64775,63.9,38.65
2395 研華,2010-03-19,5922,68.9,38.01
2408 南亞科,2010-03-19,90547,31.6,248.86
2409 友達,2010-03-19,301516,36.8,28.31
2412 中華電,2010-03-19,42960,61.5,47.04
2454 聯發科,2010-03-19,22935,539,364.08
2474 可成,2010-03-19,36215,71.8,55.18
2492 華新科,2010-03-19,65433,18.8,19.25
2801 彰銀,2010-03-19,58046,14.55,7.85
2823 中壽,2010-03-19,48841,23.7,9.2
2880 華南金,2010-03-19,22870,20.1,9.65
2881 富邦金,2010-03-19,98255,38.8,23.53
2882 國泰金,2010-03-19,73334,54.2,32.59
2883 開發金,2010-03-19,72792,9.17,6.05
2884 玉山金,2010-03-19,39762,13,5.44
2885 元大金,2010-03-19,155320,20.2,13.17
2886 兆豐金,2010-03-19,93640,18.2,11.01
2887 台新金,2010-03-19,117331,12.4,5.56
2890 永豐金,2010-03-19,137663,11.3,5.86
2891 中信金,2010-03-19,155081,18.25,7.98
2892 第一金,2010-03-19,61224,17.95,8.48
2912 統一超,2010-03-19,6610,76.2,55.96
3008 大立光,2010-03-19,4609,449,386.89
3045 台灣大,2010-03-19,31661,60.8,40.64
3481 群創,2010-03-19,147880,50.6,42.42
4904 遠傳,2010-03-19,23710,38.3,24.26
6505 台塑化,2010-03-19,18633,83.5,61.32
9904 寶成,2010-03-19,58385,26,17.05
0050 元大台灣50,2010-03-19,52467,54.25,41.49
1101 台泥,2010-03-26,61724,29.45,16.92
1102 亞泥,2010-03-26,31243,30.45,17.84
1216 統一,2010-03-26,51471,34.4,17.69
1301 台塑,2010-03-26,49920,70.8,46.33
1303 南亞,2010-03-26,43342,63.8,43.46
1326 台化,2010-03-26,31999,74.1,48.11
1402 遠東新,2010-03-26,38371,34.65,20.97
2002 中鋼,2010-03-26,140363,32.65,21.16
2105 正新,2010-03-26,27252,66.7,25.13
2301 光寶科,2010-03-26,56893,43.1,23.95
2303 聯電,2010-03-26,160466,17,11.64
2308 台達電,2010-03-26,45082,100,70.79
2317 鴻海,2010-03-26,103732,134.5,67.24
2327 國巨,2010-03-26,85793,12.55,33.38
2330 台積電,2010-03-26,292825,62,45.16
2354 鴻準,2010-03-26,29555,117,67.75
2357 華碩,2010-03-26,141102,55.6,125.41
2382 廣達,2010-03-26,66174,61.5,37.2
2395 研華,2010-03-26,5171,69.6,38.39
2408 南亞科,2010-03-26,85282,30.65,241.38
2409 友達,2010-03-26,239638,36.2,27.85
2412 中華電,2010-03-26,41691,61.1,46.73
2454 聯發科,2010-03-26,33542,560,378.27
2474 可成,2010-03-26,55882,75,57.64
2492 華新科,2010-03-26,96511,19.75,20.22
2801 彰銀,2010-03-26,37618,14.4,7.77
2823 中壽,2010-03-26,69631,24.35,9.45
2880 華南金,2010-03-26,22096,19.55,9.39
2881 富邦金,2010-03-26,99697,38.25,23.2
2882 國泰金,2010-03-26,72041,53.1,31.92
2883 開發金,2010-03-26,67101,9.07,5.98
2884 玉山金,2010-03-26,34620,13,5.44
2885 元大金,2010-03-26,129985,19.5,12.71
2886 兆豐金,2010-03-26,72366,18.1,10.95
2887 台新金,2010-03-26,110135,12.65,5.67
2890 永豐金,2010-03-26,137034,10.75,5.57
2891 中信金,2010-03-26,209921,18,7.87
2892 第一金,2010-03-26,55975,17.45,8.24
2912 統一超,2010-03-26,9381,77.7,57.06
3008 大立光,2010-03-26,3203,440,379.13
3045 台灣大,2010-03-26,31067,60.4,40.37
3481 群創,2010-03-26,137327,49.6,41.58
4904 遠傳,2010-03-26,26332,38,24.07
6505 台塑化,2010-03-26,11475,82.6,60.66
9904 寶成,2010-03-26,58243,25.7,16.85
0050 元大台灣50,2010-03-26,60657,54,41.3
1101 台泥,2010-04-02,82184,30.15,17.32
1102 亞泥,2010-04-02,32884,31.35,18.37
1216 統一,2010-04-02,111240,37.15,19.11
1301 台塑,2010-04-02,36113,71.2,46.59
1303 南亞,2010-04-02,44421,65.1,44.35
1326 台化,2010-04-02,22202,74.7,48.5
1402 遠東新,2010-04-02,55746,35,21.18
2002 中鋼,2010-04-02,164590,33.4,21.64
2105 正新,2010-04-02,31543,67.6,25.47
2301 光寶科,2010-04-02,46106,41.9,23.28
2303 聯電,2010-04-02,194906,16.75,11.47
2308 台達電,2010-04-02,39732,99.4,70.37
2317 鴻海,2010-04-02,92455,139.5,69.74
2327 國巨,2010-04-02,56845,12.55,33.38
2330 台積電,2010-04-02,179017,62.4,45.45
2354 鴻準,2010-04-02,45635,126.5,73.25
2357 華碩,2010-04-02,87998,56.2,126.77
2382 廣達,2010-04-02,57604,61.8,37.38
2395 研華,2010-04-02,5548,68.7,37.9
2408 南亞科,2010-04-02,54864,30.85,242.96
2409 友達,2010-04-02,217580,36.8,28.31
2412 中華電,2010-04-02,85388,61.8,47.27
2454 聯發科,2010-04-02,25728,560,378.27
2474 可成,2010-04-02,63030,80.5,61.87
2492 華新科,2010-04-02,52359,21.05,21.55
2801 彰銀,2010-04-02,42649,14.6,7.88
2823 中壽,2010-04-02,35426,24.45,9.49
2880 華南金,2010-04-02,22588,19.9,9.56
2881 富邦金,2010-04-02,68980,39,23.65
2882 國泰金,2010-04-02,77297,53.5,32.17
2883 開發金,2010-04-02,86767,9.2,6.07
2884 玉山金,2010-04-02,42694,13.25,5.55
2885 元大金,2010-04-02,196527,19.3,12.58
2886 兆豐金,2010-04-02,101212,18.6,11.25
2887 台新金,2010-04-02,98895,13.25,5.94
2890 永豐金,2010-04-02,163070,11.3,5.86
2891 中信金,2010-04-02,136084,18.25,7.98
2892 第一金,2010-04-02,71238,17.8,8.41
2912 統一超,2010-04-02,11237,79,58.01
3008 大立光,2010-04-02,7759,477,411.01
3045 台灣大,2010-04-02,31429,60.1,40.17
3481 群創,2010-04-02,123650,49.55,41.54
4904 遠傳,2010-04-02,26381,38.05,24.1
6505 台塑化,2010-04-02,14747,85,62.42
