證券代碼,年月日,成交量(千股)_週,收盤價(元),收盤價(元)_週
4904 遠傳,2014-09-19,23799,58,47.62
4938 和碩,2014-09-19,53295,59,47.22
5871 中租-KY,2014-09-19,20147,79.2,62.93
5880 合庫金,2014-09-19,41751,16.6,11.91
6505 台塑化,2014-09-19,7543,73.3,62.39
9904 寶成,2014-09-19,15372,33.3,28.22
0050 元大台灣50,2014-09-19,76020,68,59.53
1101 台泥,2014-09-26,38844,45.3,34.4
1102 亞泥,2014-09-26,14556,39.15,33.28
1216 統一,2014-09-26,41511,53.7,43.81
1301 台塑,2014-09-26,23646,73.5,61.82
1303 南亞,2014-09-26,38731,67.5,54.91
1326 台化,2014-09-26,13471,71,59.5
1402 遠東新,2014-09-26,21319,31.2,26.35
2002 中鋼,2014-09-26,69015,26,22.72
2105 正新,2014-09-26,23532,66.3,55.36
2301 光寶科,2014-09-26,15739,45.1,34.9
2303 聯電,2014-09-26,148094,12.65,10.71
2308 台達電,2014-09-26,32682,191,163.34
2317 鴻海,2014-09-26,151666,97.1,87.58
2327 國巨,2014-09-26,50337,22.05,59.75
2330 台積電,2014-09-26,134669,121,105.36
2354 鴻準,2014-09-26,25609,74.8,63.14
2357 華碩,2014-09-26,15493,283.5,223.37
2382 廣達,2014-09-26,32163,78,61.76
2395 研華,2014-09-26,8147,212,171.77
2408 南亞科,2014-09-26,2139,61,48.83
2409 友達,2014-09-26,260399,13.15,10.46
2412 中華電,2014-09-26,26047,91.5,75.93
2454 聯發科,2014-09-26,69051,455,381.5
2474 可成,2014-09-26,36690,270,238.47
2492 華新科,2014-09-26,6142,11.35,12.22
2801 彰銀,2014-09-26,47179,18.75,13.97
2823 中壽,2014-09-26,45886,25.7,17.87
2880 華南金,2014-09-26,23739,18.1,12.71
2881 富邦金,2014-09-26,98205,46.5,38.49
2882 國泰金,2014-09-26,84626,50.1,41.8
2883 開發金,2014-09-26,439117,9.55,7.61
2884 玉山金,2014-09-26,54648,18.8,12.33
2885 元大金,2014-09-26,97972,14.95,12.56
2886 兆豐金,2014-09-26,73524,25.1,19.71
2887 台新金,2014-09-26,91703,14.6,11.08
2890 永豐金,2014-09-26,92083,13.25,9.36
2891 中信金,2014-09-26,165857,20.7,14.79
2892 第一金,2014-09-26,45785,18.55,13.02
2912 統一超,2014-09-26,7102,214.5,181.4
3008 大立光,2014-09-26,6006,2090,1963.91
3045 台灣大,2014-09-26,24309,92,74.89
3481 群創,2014-09-26,282041,13.25,11.45
4904 遠傳,2014-09-26,17729,59,48.44
4938 和碩,2014-09-26,67548,54.3,43.46
5871 中租-KY,2014-09-26,32341,75.6,60.07
5880 合庫金,2014-09-26,31009,16.35,11.73
6505 台塑化,2014-09-26,6954,73.5,62.56
9904 寶成,2014-09-26,14034,33,27.96
0050 元大台灣50,2014-09-26,113287,65.6,57.43
1101 台泥,2014-10-03,32850,45.1,34.25
1102 亞泥,2014-10-03,16609,38.75,32.94
1216 統一,2014-10-03,48960,52.3,42.67
1301 台塑,2014-10-03,32373,71.5,60.14
1303 南亞,2014-10-03,41856,67.6,54.99
1326 台化,2014-10-03,18642,69.7,58.42
1402 遠東新,2014-10-03,47608,30.9,26.1
2002 中鋼,2014-10-03,95539,25.5,22.28
2105 正新,2014-10-03,31875,68.9,57.53
2301 光寶科,2014-10-03,23643,44.65,34.55
2303 聯電,2014-10-03,197394,12.9,10.93
2308 台達電,2014-10-03,34116,190.5,162.92
2317 鴻海,2014-10-03,170208,99.3,89.57
2330 台積電,2014-10-03,232518,124.5,108.41
2354 鴻準,2014-10-03,26217,76.3,64.4
2357 華碩,2014-10-03,11864,301.5,237.55
2382 廣達,2014-10-03,31584,77,60.97
2395 研華,2014-10-03,9762,224,181.5
2408 南亞科,2014-10-03,2418,64,51.23
2409 友達,2014-10-03,293396,12.95,10.3
2412 中華電,2014-10-03,36319,91.8,76.18
2454 聯發科,2014-10-03,40410,455,381.5
2474 可成,2014-10-03,39792,294,259.67
2492 華新科,2014-10-03,9681,11.75,12.65
2801 彰銀,2014-10-03,54066,18.65,13.9
2823 中壽,2014-10-03,49202,26.15,18.18
2880 華南金,2014-10-03,41488,17.85,12.53
2881 富邦金,2014-10-03,86120,48.05,39.77
2882 國泰金,2014-10-03,98029,50,41.72
2883 開發金,2014-10-03,182332,9.55,7.61
2884 玉山金,2014-10-03,70029,19.05,12.49
2885 元大金,2014-10-03,118601,15,12.6
2886 兆豐金,2014-10-03,79810,25.05,19.67
2887 台新金,2014-10-03,106145,14.6,11.08
2890 永豐金,2014-10-03,101355,13.2,9.32
2891 中信金,2014-10-03,159275,20.95,14.97
2892 第一金,2014-10-03,56931,18.7,13.12
2912 統一超,2014-10-03,6556,222,187.74
3008 大立光,2014-10-03,7827,2390,2245.81
3045 台灣大,2014-10-03,24482,93.2,75.87
3481 群創,2014-10-03,341929,13.25,11.45
4904 遠傳,2014-10-03,30219,59.4,48.77
4938 和碩,2014-10-03,61951,57.5,46.02
5871 中租-KY,2014-10-03,24388,74.8,59.43
5880 合庫金,2014-10-03,36633,16.4,11.77
6505 台塑化,2014-10-03,9137,72.5,61.71
9904 寶成,2014-10-03,19254,32.9,27.88
0050 元大台灣50,2014-10-03,83117,66.7,58.39
1101 台泥,2014-10-09,24112,46,34.94
1102 亞泥,2014-10-09,15808,39,33.16
1216 統一,2014-10-09,39185,51.1,41.69
1301 台塑,2014-10-09,25268,71,59.72
1303 南亞,2014-10-09,32334,65,52.88
1326 台化,2014-10-09,16167,68.7,57.58
1402 遠東新,2014-10-09,24356,31.3,26.44
2002 中鋼,2014-10-09,61512,25.9,22.63
2105 正新,2014-10-09,12854,67.3,56.19
2301 光寶科,2014-10-09,20204,44.3,34.28
2303 聯電,2014-10-09,146299,12.9,10.93
2308 台達電,2014-10-09,26113,189.5,162.06
2317 鴻海,2014-10-09,99765,97.6,88.03
2327 國巨,2014-10-09,4146,48.15,57.75
2330 台積電,2014-10-09,147535,125,108.85
2354 鴻準,2014-10-09,26715,76.5,64.57
2357 華碩,2014-10-09,8478,304,239.52
2382 廣達,2014-10-09,29384,71.5,56.61
2395 研華,2014-10-09,7265,208,168.53
2408 南亞科,2014-10-09,2121,54.1,43.3
2409 友達,2014-10-09,155385,12.8,10.18
2412 中華電,2014-10-09,22219,91.4,75.85
2454 聯發科,2014-10-09,38987,420,352.15
2474 可成,2014-10-09,27503,278,245.54
2492 華新科,2014-10-09,8637,11.65,12.54
2801 彰銀,2014-10-09,27777,18.35,13.68
2823 中壽,2014-10-09,26885,25.7,17.87
2880 華南金,2014-10-09,20151,17.8,12.5
2881 富邦金,2014-10-09,78831,49.35,40.84
2882 國泰金,2014-10-09,75616,50,41.72
2883 開發金,2014-10-09,82504,9.54,7.61
2884 玉山金,2014-10-09,46108,18.8,12.33
2885 元大金,2014-10-09,49798,15.2,12.77
2886 兆豐金,2014-10-09,65526,25.3,19.86
2887 台新金,2014-10-09,67671,14.4,10.92
2890 永豐金,2014-10-09,72109,13.2,9.42
2891 中信金,2014-10-09,113851,20.85,14.9
2892 第一金,2014-10-09,40689,18.65,13.09
2912 統一超,2014-10-09,4722,224,189.43
3008 大立光,2014-10-09,5145,2275,2137.75
3045 台灣大,2014-10-09,48940,93.6,76.19
3481 群創,2014-10-09,241168,12.95,11.19
4904 遠傳,2014-10-09,22843,60.6,49.76
4938 和碩,2014-10-09,46780,53.9,43.14
5871 中租-KY,2014-10-09,10910,73.9,58.72
5880 合庫金,2014-10-09,25790,16.3,11.69
6505 台塑化,2014-10-09,5013,71.9,61.2
9904 寶成,2014-10-09,17872,30.6,25.93
0050 元大台灣50,2014-10-09,41081,66,57.78
1101 台泥,2014-10-17,31209,45.25,34.37
1102 亞泥,2014-10-17,22609,38,32.31
1216 統一,2014-10-17,145044,48,39.16
1301 台塑,2014-10-17,58478,65.4,55.01
1303 南亞,2014-10-17,68181,58.6,47.67
1326 台化,2014-10-17,28994,65.2,54.64
1402 遠東新,2014-10-17,30629,30.3,25.59
2002 中鋼,2014-10-17,115859,25.2,22.02
2105 正新,2014-10-17,30699,66.4,55.44
2301 光寶科,2014-10-17,30296,40.6,31.41
2303 聯電,2014-10-17,277812,12.05,10.21
2308 台達電,2014-10-17,42256,185,158.21
2317 鴻海,2014-10-17,277477,89,80.28
2327 國巨,2014-10-17,19455,41.55,49.83
2330 台積電,2014-10-17,298878,123.5,107.54
2354 鴻準,2014-10-17,31092,72.1,60.86
2357 華碩,2014-10-17,16536,291.5,229.67
2382 廣達,2014-10-17,45510,73,57.8
2395 研華,2014-10-17,12407,193.5,156.78
2408 南亞科,2014-10-17,4846,51.8,41.46
2409 友達,2014-10-17,310563,11.6,9.22
2412 中華電,2014-10-17,56689,90.3,74.94
2454 聯發科,2014-10-17,56686,420,352.15
2474 可成,2014-10-17,41269,244.5,215.95
2492 華新科,2014-10-17,17464,9.52,10.25
2801 彰銀,2014-10-17,61937,18,13.42
2823 中壽,2014-10-17,49250,25.1,17.45
2880 華南金,2014-10-17,50453,17.3,12.15
2881 富邦金,2014-10-17,122832,46.4,38.4
2882 國泰金,2014-10-17,128537,45.5,37.96
2883 開發金,2014-10-17,201750,9.1,7.26
2884 玉山金,2014-10-17,52600,18.15,11.9
2885 元大金,2014-10-17,108721,14.45,12.14
2886 兆豐金,2014-10-17,79973,23.9,18.76
2887 台新金,2014-10-17,122326,13.85,10.51
2890 永豐金,2014-10-17,107240,12.65,9.03
2891 中信金,2014-10-17,162736,19.8,14.15
2892 第一金,2014-10-17,84608,17.95,12.6
2912 統一超,2014-10-17,8606,216.5,183.09
3008 大立光,2014-10-17,8602,2160,2029.69
3045 台灣大,2014-10-17,51948,97,78.96
3481 群創,2014-10-17,343520,12.15,10.5
4904 遠傳,2014-10-17,52104,63,51.73
4938 和碩,2014-10-17,74007,53.6,42.9
5871 中租-KY,2014-10-17,21192,71,56.41
5880 合庫金,2014-10-17,47762,15.8,11.34
6505 台塑化,2014-10-17,14920,68,57.88
9904 寶成,2014-10-17,32737,29.25,24.79
0050 元大台灣50,2014-10-17,87457,63.35,55.46
1101 台泥,2014-10-24,14063,45.75,34.75
1102 亞泥,2014-10-24,10982,38.85,33.03
1216 統一,2014-10-24,51475,50.9,41.52
1301 台塑,2014-10-24,28675,67.6,56.86
1303 南亞,2014-10-24,24857,60.3,49.05
1326 台化,2014-10-24,14694,68,56.99
1402 遠東新,2014-10-24,24816,30.55,25.81
2002 中鋼,2014-10-24,52324,25.75,22.5
2105 正新,2014-10-24,22929,67.7,56.53
2301 光寶科,2014-10-24,15353,41.1,31.8
2303 聯電,2014-10-24,138452,12.35,10.46
2308 台達電,2014-10-24,24674,185,158.21
2317 鴻海,2014-10-24,151268,93.2,84.06
2327 國巨,2014-10-24,13346,43.5,52.17
2330 台積電,2014-10-24,200369,125.5,109.28
2354 鴻準,2014-10-24,17904,74.8,63.14
2357 華碩,2014-10-24,9692,292.5,230.46
2382 廣達,2014-10-24,28757,74.2,58.75
2395 研華,2014-10-24,9723,196.5,159.21
2408 南亞科,2014-10-24,3162,61.2,48.99
2409 友達,2014-10-24,432898,12.65,10.06
2412 中華電,2014-10-24,19625,91.7,76.1
2454 聯發科,2014-10-24,16467,419,351.31
2474 可成,2014-10-24,27256,249.5,220.37
2492 華新科,2014-10-24,9643,10.2,10.98
2801 彰銀,2014-10-24,100935,18.6,13.86
2823 中壽,2014-10-24,26546,25.25,17.56
2880 華南金,2014-10-24,18154,17.5,12.29
2881 富邦金,2014-10-24,64437,48.05,39.77
2882 國泰金,2014-10-24,55671,46.3,38.63
2883 開發金,2014-10-24,61805,9.32,7.43
2884 玉山金,2014-10-24,28091,18.5,12.13
2885 元大金,2014-10-24,53345,14.8,12.43
2886 兆豐金,2014-10-24,64289,24.35,19.12
2887 台新金,2014-10-24,40217,14.2,10.77
2890 永豐金,2014-10-24,72595,12.7,9.06
2891 中信金,2014-10-24,109484,20.25,14.47
2892 第一金,2014-10-24,45749,18.4,12.91
2912 統一超,2014-10-24,4215,225,190.28
3008 大立光,2014-10-24,9321,2030,1907.53
3045 台灣大,2014-10-24,19347,96.2,78.31
3481 群創,2014-10-24,334503,12.7,10.97
4904 遠傳,2014-10-24,17822,61.8,50.74
4938 和碩,2014-10-24,60315,55.9,44.74
5871 中租-KY,2014-10-24,15288,72.3,57.45
5880 合庫金,2014-10-24,17113,16,11.48
6505 台塑化,2014-10-24,12901,67.7,57.62
9904 寶成,2014-10-24,21357,32.05,27.16
0050 元大台灣50,2014-10-24,57054,63.05,56.55
1101 台泥,2014-10-31,23996,46.45,35.28
1102 亞泥,2014-10-31,18882,39.2,33.33
1216 統一,2014-10-31,108918,52.2,42.58
1301 台塑,2014-10-31,22183,70.2,59.04
1303 南亞,2014-10-31,32112,62.9,51.17
1326 台化,2014-10-31,17545,70.8,59.34
1402 遠東新,2014-10-31,37501,31.95,26.99
2002 中鋼,2014-10-31,73251,26.2,22.89
2105 正新,2014-10-31,29330,71,59.28
2301 光寶科,2014-10-31,23064,42.6,32.96
2303 聯電,2014-10-31,262307,13.4,11.35
2308 台達電,2014-10-31,50776,182,155.65
2317 鴻海,2014-10-31,125445,96,86.59
2327 國巨,2014-10-31,15052,47.1,56.49
2330 台積電,2014-10-31,173161,130.5,113.64
2354 鴻準,2014-10-31,58617,81,68.37
2357 華碩,2014-10-31,15548,310,244.25
2382 廣達,2014-10-31,34678,76.4,60.49
2395 研華,2014-10-31,7863,211,170.96
2408 南亞科,2014-10-31,3956,64.9,51.95
2409 友達,2014-10-31,505180,14.4,11.45
2412 中華電,2014-10-31,33012,92.7,76.93
2454 聯發科,2014-10-31,22929,433,363.05
2474 可成,2014-10-31,38585,256,226.11
2492 華新科,2014-10-31,6620,10.5,11.3
2801 彰銀,2014-10-31,86134,19.15,14.27
2823 中壽,2014-10-31,33546,26.5,18.42
2880 華南金,2014-10-31,27249,18,12.64
2881 富邦金,2014-10-31,134752,51.4,42.54
2882 國泰金,2014-10-31,109505,50,41.72
2883 開發金,2014-10-31,138049,9.76,7.78
2884 玉山金,2014-10-31,41064,19.25,12.62
2885 元大金,2014-10-31,66499,15.3,12.85
2886 兆豐金,2014-10-31,66018,25.2,19.78
2887 台新金,2014-10-31,71154,14.5,11
2890 永豐金,2014-10-31,100266,13.2,9.42
2891 中信金,2014-10-31,209549,21.3,15.22
2892 第一金,2014-10-31,64556,18.7,13.12
2912 統一超,2014-10-31,5296,228,192.81
3008 大立光,2014-10-31,7635,2135,2006.19
3045 台灣大,2014-10-31,33493,98.7,80.34
3481 群創,2014-10-31,513291,13.85,11.96
4904 遠傳,2014-10-31,65292,67.3,55.26
4938 和碩,2014-10-31,67956,55.2,44.18
5871 中租-KY,2014-10-31,14161,75,59.59
5880 合庫金,2014-10-31,32164,16.25,11.66
6505 台塑化,2014-10-31,8221,71.3,60.69
9904 寶成,2014-10-31,20757,33.45,28.34
0050 元大台灣50,2014-10-31,54353,65.3,58.56
1101 台泥,2014-11-07,20962,45.65,34.67
1102 亞泥,2014-11-07,11063,38.75,32.94
1216 統一,2014-11-07,59222,51.2,41.77
1301 台塑,2014-11-07,11705,69.3,58.29
1303 南亞,2014-11-07,16081,61.6,50.11
1326 台化,2014-11-07,9778,68.6,57.49
1402 遠東新,2014-11-07,26047,31.1,26.27
2002 中鋼,2014-11-07,62739,25.85,22.58
2105 正新,2014-11-07,38992,73.2,61.12
2301 光寶科,2014-11-07,14228,42,32.5
2303 聯電,2014-11-07,165525,13.25,11.22
2308 台達電,2014-11-07,46184,172.5,147.52
2317 鴻海,2014-11-07,118147,96.3,86.86
2327 國巨,2014-11-07,10714,45.5,54.57
2330 台積電,2014-11-07,146456,131,114.07
2354 鴻準,2014-11-07,48012,81.4,68.71
2357 華碩,2014-11-07,9796,306,241.1
2382 廣達,2014-11-07,14233,75.3,59.62
2395 研華,2014-11-07,8362,197.5,160.02
2408 南亞科,2014-11-07,2127,64.4,51.55
2409 友達,2014-11-07,438049,14.9,11.85
2412 中華電,2014-11-07,21108,92.2,76.51
2454 聯發科,2014-11-07,29182,427,358.02
2474 可成,2014-11-07,35882,263,232.29
2492 華新科,2014-11-07,6513,10.65,11.47
2801 彰銀,2014-11-07,116253,18.35,13.68
2823 中壽,2014-11-07,21118,25.85,17.97
2880 華南金,2014-11-07,14184,17.65,12.39
2881 富邦金,2014-11-07,47789,50.4,41.71
2882 國泰金,2014-11-07,62288,49.05,40.93
2883 開發金,2014-11-07,81933,9.79,7.81
2884 玉山金,2014-11-07,33892,19.4,12.72
2885 元大金,2014-11-07,48999,15.1,12.68
2886 兆豐金,2014-11-07,42791,24.75,19.43
2887 台新金,2014-11-07,49320,14.45,10.96
2890 永豐金,2014-11-07,51275,13,9.28
2891 中信金,2014-11-07,107619,20.95,14.97
2892 第一金,2014-11-07,48020,18.3,12.84
2912 統一超,2014-11-07,7423,226,191.12
3008 大立光,2014-11-07,7442,2145,2015.59
3045 台灣大,2014-11-07,16435,97.2,79.12
3481 群創,2014-11-07,613198,14.5,12.53
4904 遠傳,2014-11-07,27565,66.5,54.6
4938 和碩,2014-11-07,31078,54.8,43.86
5871 中租-KY,2014-11-07,9786,74.6,59.27
5880 合庫金,2014-11-07,21257,16.15,11.59
6505 台塑化,2014-11-07,10214,68.3,58.13
9904 寶成,2014-11-07,14129,33.45,28.34
0050 元大台灣50,2014-11-07,63970,65.2,58.47
1101 台泥,2014-11-14,29298,45,34.18
1102 亞泥,2014-11-14,13256,39.3,33.41
1216 統一,2014-11-14,42339,50.3,41.03
1301 台塑,2014-11-14,20634,68,57.19
1303 南亞,2014-11-14,21475,62.1,50.52
1326 台化,2014-11-14,13735,68.5,57.41
1402 遠東新,2014-11-14,23548,31.1,26.27
2002 中鋼,2014-11-14,53055,25.85,22.58
2105 正新,2014-11-14,24431,72.5,60.53
2301 光寶科,2014-11-14,44244,38.1,29.48
2303 聯電,2014-11-14,252599,13.65,11.56
2308 台達電,2014-11-14,28883,170,145.38
2317 鴻海,2014-11-14,157618,96.8,87.31
2327 國巨,2014-11-14,4917,45.8,54.93
2330 台積電,2014-11-14,140510,135,117.56
2354 鴻準,2014-11-14,57532,83,70.06
2357 華碩,2014-11-14,13224,321,252.92
2382 廣達,2014-11-14,57793,71.5,56.61
2395 研華,2014-11-14,8913,199.5,161.65
2408 南亞科,2014-11-14,1686,66,52.83
2409 友達,2014-11-14,449302,14.25,11.33
2412 中華電,2014-11-14,22566,92.9,77.09
2454 聯發科,2014-11-14,35720,455.5,381.92
2474 可成,2014-11-14,74515,243,214.63
2492 華新科,2014-11-14,11540,10.8,11.63
2801 彰銀,2014-11-14,29952,18.4,13.71
2823 中壽,2014-11-14,20565,26.3,18.29
2880 華南金,2014-11-14,21320,17.7,12.43
2881 富邦金,2014-11-14,64963,50.8,42.04
2882 國泰金,2014-11-14,61405,49.8,41.55
2883 開發金,2014-11-14,102818,9.72,7.75
2884 玉山金,2014-11-14,33381,19.5,12.79
2885 元大金,2014-11-14,53402,15.2,12.77
2886 兆豐金,2014-11-14,50934,25.15,19.75
2887 台新金,2014-11-14,86550,14.25,10.81
2890 永豐金,2014-11-14,131820,13.1,9.35
2891 中信金,2014-11-14,110929,20.9,14.94
2892 第一金,2014-11-14,47435,18.6,13.05
2912 統一超,2014-11-14,4115,221,186.89
3008 大立光,2014-11-14,6685,2125,1996.8
3045 台灣大,2014-11-14,12878,98,79.77
3481 群創,2014-11-14,572097,14.4,12.44
4904 遠傳,2014-11-14,19199,67,55.01
4938 和碩,2014-11-14,146289,66.1,52.9
5871 中租-KY,2014-11-14,13061,74.9,59.51
5880 合庫金,2014-11-14,26470,16.25,11.66
6505 台塑化,2014-11-14,8831,68.4,58.22
9904 寶成,2014-11-14,17314,32.8,27.79
0050 元大台灣50,2014-11-14,72171,65.7,58.92
1101 台泥,2014-11-21,37454,45.3,34.4
1102 亞泥,2014-11-21,17426,39.5,33.58
1216 統一,2014-11-21,59946,49.75,40.59
1301 台塑,2014-11-21,19014,70,58.88
1303 南亞,2014-11-21,25151,63.5,51.66
1326 台化,2014-11-21,12602,69.6,58.33
1402 遠東新,2014-11-21,23118,30.9,26.1
2002 中鋼,2014-11-21,74203,25.75,22.5
2105 正新,2014-11-21,23693,72.5,60.53
2301 光寶科,2014-11-21,40963,37.25,28.82
2303 聯電,2014-11-21,381393,14.05,11.9
2308 台達電,2014-11-21,39470,175.5,150.09
2317 鴻海,2014-11-21,159602,96.3,86.86
2327 國巨,2014-11-21,8419,45.8,54.93
2330 台積電,2014-11-21,214237,138.5,120.6
2354 鴻準,2014-11-21,82541,87.6,73.94
2357 華碩,2014-11-21,18928,334.5,263.55
2382 廣達,2014-11-21,59651,75.2,59.54
2395 研華,2014-11-21,8792,200,162.05
2408 南亞科,2014-11-21,17147,77,61.63
2409 友達,2014-11-21,370244,14.6,11.61
2412 中華電,2014-11-21,33380,93.5,77.59
2454 聯發科,2014-11-21,28486,445,373.11
2474 可成,2014-11-21,49923,255.5,225.67
2492 華新科,2014-11-21,15570,11.4,12.27
2801 彰銀,2014-11-21,46769,18.45,13.75
2823 中壽,2014-11-21,26126,26,18.08
2880 華南金,2014-11-21,24299,17.75,12.46
2881 富邦金,2014-11-21,69191,50.4,41.71
2882 國泰金,2014-11-21,80692,49.8,41.55
2883 開發金,2014-11-21,103200,9.73,7.76
2884 玉山金,2014-11-21,39123,19.55,12.82
2885 元大金,2014-11-21,69317,14.95,12.56
2886 兆豐金,2014-11-21,69413,25.05,19.67
2887 台新金,2014-11-21,81890,14.45,10.96
2890 永豐金,2014-11-21,73666,13.05,9.31
2891 中信金,2014-11-21,146232,21.05,15.04
2892 第一金,2014-11-21,59434,18.85,13.23
2912 統一超,2014-11-21,4114,233,197.04
3008 大立光,2014-11-21,6727,2335,2194.13
3045 台灣大,2014-11-21,16707,98,79.77
3481 群創,2014-11-21,566228,14.95,12.92
4904 遠傳,2014-11-21,21803,67.5,55.42
4938 和碩,2014-11-21,140548,74,59.22
5871 中租-KY,2014-11-21,16339,76.5,60.78
5880 合庫金,2014-11-21,34995,16.2,11.62
6505 台塑化,2014-11-21,9421,70,59.58
9904 寶成,2014-11-21,54228,37.05,31.4
0050 元大台灣50,2014-11-21,78598,66.65,59.77
1101 台泥,2014-11-28,27232,45.45,34.52
1102 亞泥,2014-11-28,16340,39.7,33.75
1216 統一,2014-11-28,32931,50,40.79
1301 台塑,2014-11-28,19420,71,59.72
1303 南亞,2014-11-28,22387,64.8,52.71
1326 台化,2014-11-28,12071,70,58.67
1402 遠東新,2014-11-28,28123,30.9,26.1
2002 中鋼,2014-11-28,83511,26.1,22.8
2105 正新,2014-11-28,28705,71.7,59.86
2301 光寶科,2014-11-28,27635,37.5,29.02
2303 聯電,2014-11-28,236970,13.75,11.65
2308 台達電,2014-11-28,36703,187,159.92
2317 鴻海,2014-11-28,136203,97,87.49
2327 國巨,2014-11-28,19757,51.5,61.76
2330 台積電,2014-11-28,162208,141.5,123.22
2354 鴻準,2014-11-28,47394,86.5,73.01
2357 華碩,2014-11-28,16790,337,265.52
2382 廣達,2014-11-28,41981,77,60.97
2395 研華,2014-11-28,11271,212,171.77
2408 南亞科,2014-11-28,31609,73.2,58.59
2409 友達,2014-11-28,237807,14.6,11.61
2412 中華電,2014-11-28,22478,93,77.18
2454 聯發科,2014-11-28,25903,465,389.88
2474 可成,2014-11-28,36274,262,231.41
2492 華新科,2014-11-28,13534,11.5,12.38
2801 彰銀,2014-11-28,27034,18.35,13.68
2823 中壽,2014-11-28,31445,25.9,18.01
2880 華南金,2014-11-28,20603,17.85,12.53
2881 富邦金,2014-11-28,53287,50.7,41.96
2882 國泰金,2014-11-28,61055,49.9,41.64
2883 開發金,2014-11-28,145583,9.91,7.9
2884 玉山金,2014-11-28,39062,19.6,12.85
2885 元大金,2014-11-28,77526,15.2,12.77
2886 兆豐金,2014-11-28,52956,25.2,19.78
2887 台新金,2014-11-28,66429,14.35,10.89
2890 永豐金,2014-11-28,80804,13,9.28
2891 中信金,2014-11-28,100915,21.05,15.04
2892 第一金,2014-11-28,57472,18.8,13.19
2912 統一超,2014-11-28,4670,241,203.81
3008 大立光,2014-11-28,6044,2385,2241.11
3045 台灣大,2014-11-28,9841,98.4,80.1
3481 群創,2014-11-28,366971,14.8,12.79
4904 遠傳,2014-11-28,17992,67,55.01
4938 和碩,2014-11-28,101565,71.8,57.46
5871 中租-KY,2014-11-28,43489,79.5,63.17
5880 合庫金,2014-11-28,23939,16.3,11.69
6505 台塑化,2014-11-28,5679,70,59.58
9904 寶成,2014-11-28,35507,37.4,31.69
0050 元大台灣50,2014-11-28,61210,67.5,60.54
1101 台泥,2014-12-05,27328,45.35,34.44
1102 亞泥,2014-12-05,16256,38.85,33.03
1216 統一,2014-12-05,39855,48.65,39.69
1301 台塑,2014-12-05,19694,71,59.72
1303 南亞,2014-12-05,27929,65.9,53.61
1326 台化,2014-12-05,15338,67.9,56.91
1402 遠東新,2014-12-05,31302,30.65,25.89
2002 中鋼,2014-12-05,78935,26.3,22.98
2105 正新,2014-12-05,18013,71.5,59.7
2301 光寶科,2014-12-05,37571,37.1,28.71
2303 聯電,2014-12-05,363891,14.25,12.07
2308 台達電,2014-12-05,21775,185,158.21
2317 鴻海,2014-12-05,210717,93.2,84.06
2327 國巨,2014-12-05,11168,49,58.77
2330 台積電,2014-12-05,202789,137.5,119.73
2354 鴻準,2014-12-05,60282,90.7,76.56
2357 華碩,2014-12-05,17233,348.5,274.59
2382 廣達,2014-12-05,29991,76.7,60.73
2395 研華,2014-12-05,9502,220.5,178.66
2408 南亞科,2014-12-05,19937,71.5,57.23
2409 友達,2014-12-05,421291,15.15,12.05
2412 中華電,2014-12-05,23718,92.8,77.01
2454 聯發科,2014-12-05,28451,458,384.01
2474 可成,2014-12-05,28975,266.5,235.38
2492 華新科,2014-12-05,19054,12.2,13.13
2801 彰銀,2014-12-05,43004,17.9,13.34
2823 中壽,2014-12-05,78356,26.9,18.7
2880 華南金,2014-12-05,23967,17.6,12.36
2881 富邦金,2014-12-05,116832,50.5,41.8
2882 國泰金,2014-12-05,172031,47.5,39.63
2883 開發金,2014-12-05,205075,9.98,7.96
2884 玉山金,2014-12-05,44829,19.5,12.79
2885 元大金,2014-12-05,138625,15.45,12.98
2886 兆豐金,2014-12-05,161431,24.45,19.2
2887 台新金,2014-12-05,80936,14.3,10.85
2890 永豐金,2014-12-05,105569,12.9,9.21
2891 中信金,2014-12-05,229085,20.85,14.9
2892 第一金,2014-12-05,60745,18.55,13.02
2912 統一超,2014-12-05,4145,238.5,201.69
3008 大立光,2014-12-05,5954,2370,2227.02
3045 台灣大,2014-12-05,23846,99,80.59
3481 群創,2014-12-05,461656,15.2,13.13
4904 遠傳,2014-12-05,28282,67.5,55.42
4938 和碩,2014-12-05,78926,72.6,58.1
5871 中租-KY,2014-12-05,24476,80.4,63.88
5880 合庫金,2014-12-05,32900,16.35,11.73
6505 台塑化,2014-12-05,9670,68.3,58.13
9904 寶成,2014-12-05,25418,37.6,31.86
0050 元大台灣50,2014-12-05,68572,66.85,59.95
1101 台泥,2014-12-12,39414,44.2,33.57
1102 亞泥,2014-12-12,20514,38,32.31
1216 統一,2014-12-12,51095,48.4,39.48
1301 台塑,2014-12-12,17119,67.3,56.61
1303 南亞,2014-12-12,20719,62,50.44
1326 台化,2014-12-12,14545,65.2,54.64
1402 遠東新,2014-12-12,29417,30.05,25.38
2002 中鋼,2014-12-12,58576,25.85,22.58
2105 正新,2014-12-12,28105,72.2,60.28
2301 光寶科,2014-12-12,32996,37.1,28.71
2303 聯電,2014-12-12,235278,13.8,11.69
2308 台達電,2014-12-12,18505,180.5,154.36
2317 鴻海,2014-12-12,282755,89.6,80.82
2327 國巨,2014-12-12,3979,48.2,57.81
